"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.39-14","",0.7647,"-71.5077136030528","-16.3669787913615",c(-71.5077136030528, -16.3669787913615)
"1.1.39-15","",0.8,"-71.5076054730722","-16.3677508517445",c(-71.5076054730722, -16.3677508517445)
"1.1.39-16","",0.6667,"-71.5075517872413","-16.368210659499",c(-71.5075517872413, -16.368210659499)
"1.1.39-17","",1,"-71.5074914602621","-16.3685625418017",c(-71.5074914602621, -16.3685625418017)
"1.1.39-19","",0.4,"-71.5068500411415","-16.3681386433912",c(-71.5068500411415, -16.3681386433912)
"1.1.39-2","",0.5,"-71.5082266107128","-16.3690436505763",c(-71.5082266107128, -16.3690436505763)
"1.1.39-20","",0.3333,"-71.506889623308","-16.3678330729513",c(-71.506889623308, -16.3678330729513)
"1.1.39-21","",0,"-71.5069307766114","-16.3675591807196",c(-71.5069307766114, -16.3675591807196)
"1.1.39-22","",0.5,"-71.5067976832126","-16.367111846678",c(-71.5067976832126, -16.367111846678)
"1.1.39-23","",0.5,"-71.5072146979414","-16.3670411259541",c(-71.5072146979414, -16.3670411259541)
"1.1.39-3","",0.4,"-71.5086177197717","-16.3690991777925",c(-71.5086177197717, -16.3690991777925)
"1.1.39-4","",0.6667,"-71.508958333656","-16.3691134570498",c(-71.508958333656, -16.3691134570498)
"1.1.39-5","",0.75,"-71.5090987937247","-16.3687838717071",c(-71.5090987937247, -16.3687838717071)
"1.1.39-6","",0.6316,"-71.5095349925336","-16.3681749387102",c(-71.5095349925336, -16.3681749387102)
"1.1.39-7","",0.5652,"-71.5090802897075","-16.3680030664847",c(-71.5090802897075, -16.3680030664847)
"1.1.39-8","",0.6,"-71.5087037617741","-16.3687278231362",c(-71.5087037617741, -16.3687278231362)
"1.1.39-9","",0.6667,"-71.5083125687344","-16.3686713534922",c(-71.5083125687344, -16.3686713534922)
"1.1.42-1","",0.5,"-71.5035048822518","-16.3699721515443",c(-71.5035048822518, -16.3699721515443)
"1.1.42-10","",0.8333,"-71.5039852190678","-16.3689184002614",c(-71.5039852190678, -16.3689184002614)
"1.1.42-11","",0.6,"-71.5035417068837","-16.3687493737271",c(-71.5035417068837, -16.3687493737271)
"1.1.42-12","",0.8,"-71.5034698142498","-16.3695031045525",c(-71.5034698142498, -16.3695031045525)
"1.1.42-13","",0.75,"-71.5029883940608","-16.3695072794273",c(-71.5029883940608, -16.3695072794273)
"1.1.42-14","",0.7,"-71.5030158179889","-16.3689652283806",c(-71.5030158179889, -16.3689652283806)
"1.1.42-15","",0.6667,"-71.5025735564323","-16.3694666455764",c(-71.5025735564323, -16.3694666455764)
"1.1.42-2","",0.5,"-71.5038916252239","-16.370172556789",c(-71.5038916252239, -16.370172556789)
"1.1.42-3","",0.6,"-71.504219890199","-16.3699961467759",c(-71.504219890199, -16.3699961467759)
"1.1.42-4","",0.8,"-71.5045627262075","-16.369864268093",c(-71.5045627262075, -16.369864268093)
