type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-12;-16.38701441;-71.52075923;8186582.714;230751.7357;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38726164;-71.52092313;8186555.125;230734.5598;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38748338;-71.52109307;8186530.351;230716.703;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38754451;-71.52121761;8186523.418;230703.4773;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38764332;-71.52137964;8186512.264;230686.2972;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38768116;-71.52151957;8186507.889;230671.3956;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38768108;-71.52171588;8186507.637;230650.4154;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.3876007;-71.52198326;8186516.181;230621.7296;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38810043;-71.52229984;8186460.435;230588.584;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-13; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-13;-16.38630708;-71.52048334;8186661.388;230780.2485;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-13;-16.38593498;-71.52000347;8186703.22;230831.0212;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-13;-16.38519334;-71.52062714;8186784.497;230763.3487;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-13;-16.38585416;-71.52084873;8186711.044;230740.5755;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38763322;-71.52167901;8186512.984;230654.2898;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38764256;-71.52153321;8186512.144;230669.8846;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38759334;-71.52136425;8186517.818;230687.8728;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38746933;-71.52114243;8186531.841;230711.4091;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38716495;-71.52091082;8186565.846;230735.7425;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38694578;-71.52077424;8186590.291;230750.0375;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38668825;-71.52069119;8186618.913;230758.5594;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38636029;-71.52053031;8186655.434;230775.3011;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38593909;-71.52087606;8186701.606;230737.7722;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38632296;-71.5210172;8186658.92;230723.2152;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38677484;-71.52120192;8186608.649;230704.0963;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38704486;-71.52143582;8186578.444;230679.4702;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.3874766;-71.52182004;8186530.136;230639.0021;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-14;-16.38757918;-71.52190385;8186518.669;230630.1862;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-15;-16.38691978;-71.52148776;8186592.223;230673.7479;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15;-16.3866477;-71.52123289;8186622.683;230700.6118;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15;-16.38594842;-71.52181394;8186699.328;230637.5516;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15;-16.38609972;-71.52202019;8186682.304;230615.7174;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15;-16.38635316;-71.52235372;8186653.802;230580.4219;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-15;-16.38714914;-71.52172284;8186566.518;230648.9396;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38633068;-71.52110556;8186657.949;230713.7834;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38589453;-71.52096982;8186706.415;230727.6899;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38521526;-71.52070869;8186781.963;230754.6631;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38515621;-71.52074877;8186788.447;230750.299;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38555758;-71.52126848;8186743.322;230695.3082;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38591393;-71.52176535;8186703.211;230642.6977;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-16;-16.38656613;-71.52122182;8186631.728;230701.682;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38548668;-71.51983911;8186753.068;230847.9696;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38534823;-71.51995824;8186768.238;230835.0484;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38520751;-71.51976553;8186784.072;230855.4496;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38497971;-71.51946423;8186809.692;230887.337;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38462426;-71.51895524;8186849.719;230941.2456;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38414264;-71.51934929;8186902.516;230898.4711;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.3842188;-71.51945176;8186893.947;230887.6242;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38439316;-71.51968784;8186874.332;230862.6335;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38461377;-71.51997037;8186849.533;230832.7425;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38482318;-71.52023648;8186825.997;230804.5905;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38506853;-71.52056898;8186798.393;230769.3926;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-17;-16.38577881;-71.52000793;8186720.502;230830.3299;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-18;-16.3857787;-71.51963721;8186721.007;230869.9485;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38557452;-71.51940002;8186743.926;230895.0166;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38526829;-71.51901999;8186778.332;230935.2102;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38499562;-71.51866235;8186808.994;230973.0576;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38470041;-71.51891391;8186841.342;230945.767;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38488365;-71.51917863;8186820.705;230917.7276;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38512123;-71.51950396;8186793.972;230883.2855;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.38584959;-71.51994497;8186712.751;230837.1553;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-18;-16.3859515;-71.51986813;8186701.57;230845.508;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38604209;-71.51948747;8186692.046;230886.3134;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.3859804;-71.5190782;8186699.418;230929.9684;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38562144;-71.5180932;8186740.464;231034.7435;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38537779;-71.51771773;8186767.936;231074.5359;False; ; ;0; ; ; ; ; ; 
